Rdelta,Rtheta,Ralpha,Rbeta,Class
0.743037607,0.08020347,0.052392039,0.106610594,0
0.702372442,0.114125849,0.053172858,0.109710605,0
0.62033809,0.167035897,0.07225443,0.117871232,0
0.75719251,0.090378895,0.051246246,0.083650372,0
0.850180693,0.065641971,0.025659068,0.046881322,0
0.626368442,0.158185173,0.068583374,0.118155092,0
0.72715031,0.089488312,0.048673243,0.112054672,1
0.560267926,0.163527516,0.072188375,0.170682912,1
0.805554478,0.079346865,0.035660529,0.065595532,1
0.800321178,0.070693037,0.045030829,0.069790554,1
0.649621116,0.117640873,0.068406625,0.136166887,1
0.720222803,0.110312405,0.048005606,0.099431187,1
0.584858469,0.184788643,0.071793223,0.126608392,2
0.604487678,0.164485051,0.068961874,0.135387766,2
0.685337421,0.118819031,0.068639772,0.104770878,2
0.501768779,0.153637675,0.092134262,0.207419094,2
0.586926668,0.191629314,0.068464466,0.125141731,2
0.422698119,0.134978536,0.08762354,0.2876225,2
