X,Theta,Alpha,sate,Y,class,,
39.15,3178.168,1299.363,1,4,1,,
39.15,4875.512,2016.853,1,4,1,,
39.15,3001.173,1516.451,1,4,1,,
39.15,2449.318,1165.406,1,4,1,,
38.86,2796.913,1216.043,1,4,1,,
39,3689.244,1657.959,1,4,1,,
38.86,2942.668,1813.407,1,4,1,,
38.86,9577.261,3326.62,1,4,1,,
38.86,3912.74,2277.032,1,4,1,,
39.15,3253.981,2202.661,1,4,1,,
38.86,2955.067,1496.611,1,4,1,,
38.86,2795.988,2161.621,1,4,1,,
39.15,2912.259,2113.021,1,4,1,,
38.86,2806.663,1685.138,1,4,1,,
38.86,3827.987,2520.253,1,4,1,,
39,3018.558,2511.819,1,4,1,,
38.71,2922.514,2153.909,1,4,1,,
38.86,2911.066,2025.385,1,4,1,,
39,3629.164,1152.499,1,4,1,,
39,2102.878,990.55,1,4,1,,
38.71,3826.787,1350.605,1,4,1,,
38.71,2300.468,804.786,1,4,1,,
38.71,3527.182,1052.369,1,4,1,,
38.71,5928.265,2530.856,1,4,1,,
39,2377.347,1355.932,0,4,0,,
38.71,2430.264,1104.335,0,4,0,,
38.71,2370.939,1193.342,0,4,0,,
38.71,2731.027,1278.209,0,4,0,,
38.86,3109.799,1173.169,0,4,0,,
38.71,2295.862,985.817,0,4,0,,
38.71,2973.225,1762.616,0,4,0,,
38.71,2375.122,1462.727,0,4,0,,
38.86,2993.564,1944.052,0,4,0,,
38.86,2748.859,1606.819,0,4,0,,
38.86,2784.691,1533.009,0,4,0,,
38.56,3205.459,1609.894,0,4,0,,
38.86,3731.551,1966.29,0,4,0,,
38.56,4555.554,2078.303,0,4,0,,
38.42,2764.356,1320.252,0,4,0,,
38.86,2715.534,1536.543,0,4,0,,
38.56,2687.694,1498.426,0,4,0,,
38.42,2735.907,1624.85,0,4,0,,
38.56,3667.094,2517.676,0,4,0,,
38.56,4024.085,2391.942,0,4,0,,
38.42,3018.514,2091.02,0,4,0,,
38.42,3374.678,2298.648,0,4,0,,
38.71,4273.72,2223.95,0,4,0,,
38.71,3241.702,1777.342,0,4,0,,
