X,Theta,Alpha,HRV-interval,eeg-y,emg-y,ecg-y,class
64.52,3178.168,1299.363,821,1,4,1,1
64.22,4875.512,2016.853,782,1,4,1,1
64.22,3001.173,1516.451,801,1,4,1,1
63.78,2449.318,1165.406,821,1,4,1,1
63.64,2796.913,1216.043,881,1,4,1,1
63.64,3689.244,1657.959,862,1,4,1,1
63.49,2942.668,1813.407,841,1,4,1,1
63.34,9577.261,3326.62,882,1,4,1,1
62.76,3912.74,2277.032,861,1,4,1,1
62.76,3253.981,2202.661,821,1,4,1,1
62.76,2955.067,1496.611,801,1,4,1,1
62.61,2795.988,2161.621,821,1,4,1,1
62.61,2912.259,2113.021,823,1,4,1,1
62.61,2806.663,1685.138,761,1,4,1,1
62.46,3827.987,2520.253,801,1,4,1,1
61.73,3018.558,2511.819,841,1,4,1,1
61.44,2922.514,2153.909,821,1,4,1,1
60.56,2911.066,2025.385,802,1,4,1,1
59.24,3629.164,1152.499,821,1,4,1,1
57.92,2102.878,990.55,862,1,4,1,1
55.72,3826.787,1350.605,841,1,4,1,1
54.11,2300.468,804.786,782,1,4,1,1
52.93,3527.182,1052.369,821,1,4,1,1
51.47,5928.265,2530.856,842,1,4,1,1
49.27,2377.347,1355.932,521,0,4,1,0
44.72,2430.264,1104.335,321,0,4,1,0
42.67,2370.939,1193.342,721,0,4,1,0
41.35,2731.027,1278.209,762,0,4,1,0
42.23,3109.799,1173.169,842,0,4,1,0
40.91,2295.862,985.817,821,0,4,1,0
40.62,2973.225,1762.616,761,0,4,1,0
40.18,2375.122,1462.727,781,0,4,1,0
39.15,2993.564,1944.052,802,0,4,1,0
38.86,2748.859,1606.819,781,0,4,1,0
39,2784.691,1533.009,1482,0,4,1,0
38.56,3205.459,1609.894,1402,0,4,1,0
38.42,3731.551,1966.29,842,0,4,1,0
38.56,4555.554,2078.303,521,0,4,1,0
38.42,2764.356,1320.252,721,0,4,1,0
38.86,2715.534,1536.543,701,0,4,1,0
38.27,2687.694,1498.426,741,0,4,1,0
38.42,2735.907,1624.85,762,0,4,1,0
38.56,3667.094,2517.676,801,0,4,1,0
38.27,4024.085,2391.942,842,0,4,1,0
38.42,3018.514,2091.02,781,0,4,1,0
38.12,3374.678,2298.648,802,0,4,1,0
38.27,4273.72,2223.95,802,0,4,1,0
38.12,3241.702,1777.342,801,0,4,1,0
